,A,F,pe,ds,ec,beta,dl,du
111,48,8,0.01,0.001,0.001,0.16020189043205224,-0.99007125,98.2875
112,48,9,0.01,0.001,0.001,0.1452600194386365,-0.9900644444444444,98.35555555555555
113,48,10,0.01,0.001,0.001,0.1330337879080458,-0.990059,98.41
114,48,11,0.01,0.001,0.001,0.1228301366527662,-0.9900545454545455,98.45454545454545
115,48,12,0.01,0.001,0.001,0.1141755681900568,-0.9900508333333333,98.49166666666667
116,48,13,0.01,0.001,0.001,0.10673510889107361,-0.9900476923076923,98.52307692307693
117,48,14,0.01,0.001,0.001,0.10026482087161112,-0.990045,98.55000000000001
118,48,15,0.01,0.001,0.001,0.09458266631014887,-0.9900426666666666,98.57333333333334
119,48,16,0.01,0.001,0.001,0.08954992975541237,-0.990040625,98.59375
120,51,2,0.01,0.001,0.001,0.48809713007394445,-0.99027,96.3
121,51,3,0.01,0.001,0.001,0.35538849724776084,-0.9901833333333333,97.16666666666667
122,51,4,0.01,0.001,0.001,0.28239782382907724,-0.99014,97.6
123,51,5,0.01,0.001,0.001,0.23572362948242212,-0.990114,97.86
124,51,6,0.01,0.001,0.001,0.2030981943192575,-0.9900966666666666,98.03333333333333
125,51,7,0.01,0.001,0.001,0.178904837768986,-0.9900842857142858,98.15714285714286
126,51,8,0.01,0.001,0.001,0.1601916366744088,-0.990075,98.25
127,51,9,0.01,0.001,0.001,0.14525192342450646,-0.9900677777777778,98.32222222222222
128,51,10,0.01,0.001,0.001,0.13302723383864792,-0.990062,98.38
129,51,11,0.01,0.001,0.001,0.12282472256718077,-0.9900572727272727,98.42727272727274
130,51,12,0.01,0.001,0.001,0.11417102060383492,-0.9900533333333333,98.46666666666667
131,51,13,0.01,0.001,0.001,0.10673123528523103,-0.99005,98.5
132,51,14,0.01,0.001,0.001,0.10026148180578555,-0.9900471428571429,98.52857142857144
133,51,15,0.01,0.001,0.001,0.09457975831534915,-0.9900446666666667,98.55333333333334
134,51,16,0.01,0.001,0.001,0.08954737444064796,-0.9900425,98.575
135,51,17,0.01,0.001,0.001,0.08505671453165912,-0.9900405882352941,98.59411764705882
136,54,2,0.01,0.001,0.001,0.48792962124080674,-0.990285,96.15
137,54,3,0.01,0.001,0.001,0.35531472545915926,-0.9901933333333334,97.06666666666666
138,54,4,0.01,0.001,0.001,0.28235651490363095,-0.9901475,97.52499999999999
139,54,5,0.01,0.001,0.001,0.23569726332870916,-0.99012,97.8
140,54,6,0.01,0.001,0.001,0.2030799174700388,-0.9901016666666667,97.98333333333333
141,54,7,0.01,0.001,0.001,0.1788914271335347,-0.9900885714285714,98.11428571428571
142,54,8,0.01,0.001,0.001,0.1601813790418175,-0.99007875,98.2125
143,54,9,0.01,0.001,0.001,0.14524382469283317,-0.9900711111111111,98.28888888888889
144,54,10,0.01,0.001,0.001,0.13302067779046392,-0.990065,98.35000000000001
145,54,11,0.01,0.001,0.001,0.1228193069963174,-0.99006,98.4
146,54,12,0.01,0.001,0.001,0.11416647187447686,-0.9900558333333334,98.44166666666666
147,54,13,0.01,0.001,0.001,0.10672736078088318,-0.9900523076923077,98.47692307692307
148,54,14,0.01,0.001,0.001,0.10025814202097935,-0.9900492857142857,98.50714285714287
149,54,15,0.01,0.001,0.001,0.09457684973628232,-0.9900466666666666,98.53333333333333
150,54,16,0.01,0.001,0.001,0.08954481864467177,-0.990044375,98.55625
151,54,17,0.01,0.001,0.001,0.08505445102113343,-0.9900423529411765,98.57647058823528
152,54,18,0.01,0.001,0.001,0.0810209250790592,-0.9900405555555556,98.59444444444443
153,57,2,0.01,0.001,0.001,0.4877618535734176,-0.9903,96.0
154,57,3,0.01,0.001,0.001,0.3552408784060095,-0.9902033333333333,96.96666666666667
155,57,4,0.01,0.001,0.001,0.282315174520693,-0.990155,97.45
156,57,5,0.01,0.001,0.001,0.23567088115829757,-0.990126,97.74
157,57,6,0.01,0.001,0.001,0.20306163138620126,-0.9901066666666667,97.93333333333332
158,57,7,0.01,0.001,0.001,0.17887801069805345,-0.9900928571428571,98.07142857142857
159,57,8,0.01,0.001,0.001,0.16017111753134852,-0.9900825,98.175
160,57,9,0.01,0.001,0.001,0.14523572324179163,-0.9900744444444445,98.25555555555555
161,57,10,0.01,0.001,0.001,0.13301411976229857,-0.990068,98.32
162,57,11,0.01,0.001,0.001,0.12281388993936092,-0.9900627272727273,98.37272727272727
163,57,12,0.01,0.001,0.001,0.11416192200140775,-0.9900583333333334,98.41666666666666
164,57,13,0.01,0.001,0.001,0.10672348537761318,-0.9900546153846154,98.45384615384614
165,57,14,0.01,0.001,0.001,0.10025480151688283,-0.9900514285714286,98.4857142857143
166,57,15,0.01,0.001,0.001,0.09457394057271355,-0.9900486666666667,98.51333333333334
167,57,16,0.01,0.001,0.001,0.08954226236730252,-0.99004625,98.5375
168,57,17,0.01,0.001,0.001,0.08505218710943019,-0.9900441176470588,98.55882352941177
169,57,18,0.01,0.001,0.001,0.0810189061001236,-0.9900422222222223,98.57777777777778
170,57,19,0.01,0.001,0.001,0.07737462299293882,-0.9900405263157894,98.59473684210526
171,60,2,0.01,0.001,0.001,0.48759382627063885,-0.9903150000000001,95.85000000000001
172,60,3,0.01,0.001,0.001,0.3551669559345796,-0.9902133333333333,96.86666666666667
173,60,4,0.01,0.001,0.001,0.28227380263231594,-0.9901625000000001,97.375
174,60,5,0.01,0.001,0.001,0.23564448295171617,-0.990132,97.68
175,60,6,0.01,0.001,0.001,0.20304333605840819,-0.9901116666666667,97.88333333333334
